state,city,restaurant_name,location,category,dish_name,price_inr,rating,rating_count,order_date,id
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Dosas,"Rava Masala",143.00,4,18,2025-01-28,162
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Dosas,"Masala Dosa",104.00,4,446,2025-01-28,163
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Chicken Karavali",239.00,4,0,2025-06-10,164
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Dosas,"Open Butter Masala",124.00,3,21,2025-04-18,165
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Chicken Naati",239.00,4,0,2025-06-17,166
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Dosas,"Butter Plain",124.00,4,7,2025-02-13,167
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Chicken Manchuri",239.00,4,0,2025-05-08,168
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Mutton Patiala.",440.00,4,0,2025-02-08,169
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Kodubale 200 gm",65.00,4,0,2025-06-10,170
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Masala kodubale [250 gms]",95.00,4,0,2025-02-16,171
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Small kodubale [250 gms]",95.00,4,0,2025-05-08,172
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Nisarga Spl Mutton",440.00,4,0,2025-02-16,173
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Guntoor Chicken",239.00,4,0,2025-04-14,174
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Topioca stick [500 gms]",245.00,4,0,2025-01-18,175
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Topioca chips [500 gms]",245.00,4,0,2025-01-25,176
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Dosas,"Set Dosa",104.00,4,251,2025-02-16,177
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Bitterguard chips [500 gms]",245.00,4,0,2025-08-22,178
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Dosas,"Special Dosa",124.00,2,14,2025-01-30,179
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Potato ginger chips [500 gms]",245.00,4,0,2025-08-11,180
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Potato pudina chips [500 gms]",245.00,4,0,2025-02-23,181
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Topioca stick [250 gms]",95.00,4,0,2025-02-27,182
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Topioca chips [250 gms]",95.00,4,0,2025-02-16,183
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Tomato muruku",85.00,4,0,2025-04-14,184
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Potato ginger chips [250 gms]",95.00,4,0,2025-06-23,185
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Mutton Ghee Roast",450.00,4,0,2025-05-09,186
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Potato pudina chips [250 gms]",95.00,4,0,2025-01-24,187
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Mutton Sukka",440.00,4,0,2025-01-11,188
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Topioca stick",65.00,4,0,2025-04-24,189
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Prawns Kabab",440.00,4,0,2025-08-08,190
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Topioca chips",65.00,4,0,2025-02-01,191
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Bitterguard chips",65.00,4,0,2025-06-24,192
